model_id;model;make_id;make
19;Chevrolet;19315;Viva
19;Chevrolet;19316;Lanos
19;Chevrolet;19604;Orlando
19;Chevrolet;19615;Chevelle
19;Chevrolet;20234;Trax
19;Chevrolet;20286;Traverse
19;Chevrolet;74631;Bolt
19;Chevrolet;74784;Bel Air
19;Chevrolet;21006;Others
20;Chrysler;16420;PT Cruiser
20;Chrysler;16587;Prowler
20;Chrysler;18338;Pacifica
20;Chrysler;18339;Crossfire
20;Chrysler;1691;ES
20;Chrysler;1692;GTS
20;Chrysler;1693;GS
20;Chrysler;1694;Daytona
20;Chrysler;1695;Le Baron
20;Chrysler;1696;Neon
20;Chrysler;1697;New Yorker
20;Chrysler;1698;Saratoga
20;Chrysler;1699;Stratus
20;Chrysler;1700;Viper
20;Chrysler;1701;Vision
20;Chrysler;1702;Voyager
20;Chrysler;2150;Sebring
20;Chrysler;14992;Valiant
20;Chrysler;15139;300 M
20;Chrysler;15140;Grand Voyager
20;Chrysler;18497;300C
20;Chrysler;19109;Aspen
20;Chrysler;19763;Town & Country
20;Chrysler;20138;Ram Van
20;Chrysler;20498;Imperial
20;Chrysler;21007;Others
21;Citroen;15984;Xsara Picasso
21;Citroen;16363;Jumpy
21;Citroen;16458;C25
21;Citroen;16525;C5
21;Citroen;18264;C3
21;Citroen;18281;C8
21;Citroen;18373;C2
21;Citroen;1703;2CV
21;Citroen;1704;AX
21;Citroen;1705;BX
21;Citroen;1706;CX
21;Citroen;1707;Evasion
21;Citroen;1708;GSA
21;Citroen;1709;LNA
21;Citroen;1710;SAXO
21;Citroen;1712;Xantia
21;Citroen;1713;XM
21;Citroen;1714;ZX
21;Citroen;14710;Jumper
21;Citroen;14810;Xsara
21;Citroen;14811;C15
21;Citroen;15142;Berlingo
21;Citroen;15638;Visa
21;Citroen;15716;DS
